powiat,miejscowosc,ulica,numer,ilosc_koszy,ilosc_posesji,latitude,longitude
Wodzisławski,Wodzisław Śl.,1 maja,16,0,0,49.96601,18.5437
Wodzisławski,Rogów,Czyżowicka,9,36,18,49.99082035,18.3535814376277
Wodzisławski,Rogów,Dębowa,14,10,5,49.995402,18.3643807
Wodzisławski,Rogów,Klonowa,10,10,5,49.993466,18.3653922
Wodzisławski,Rogów,Krótka,1,4,2,49.99378255,18.3487331892941
Wodzisławski,Rogów,Krzywa,4,54,27,49.99262215,18.3515165772111
Wodzisławski,Rogów,Leśna,11,102,51,49.9897297,18.3604261393907
Wodzisławski,Rogów,Lipowa,7,42,21,49.98470965,18.3564173111933
Wodzisławski,Rogów,Palarni,3,20,10,49.98895905,18.3478860549148
Wodzisławski,Rogów,Parkowa,4,28,14,49.98804875,18.349830906673
Wodzisławski,Turza Śl.,27 Marca,20,106,53,49.9728185,18.454862
Wodzisławski,Turza Śl.,Bogumińska,40,228,114,49.9722418,18.4363844
Wodzisławski,Turza Śl.,Dalków,18,100,50,49.9758319,18.4395402
Wodzisławski,Turza Śl.,Graniczna,25,146,73,49.9618573,18.4622052
Wodzisławski,Turza Śl.,Kolejowa,10,78,39,49.9668356,18.4321345364884
Wodzisławski,Turza Śl.,Kosciuszki,35,202,101,49.9680785,18.4409706882972
Wodzisławski,Turza Śl.,Ligonia,14,177,59,49.9664168,18.4557258626326
Wodzisławski,Turza Śl.,Mszańska,18,184,92,49.9816811,18.4666661
Wodzisławski,Turza Śl.,Piaski,6,18,6,49.9768072,18.4606956
